pathway feature_ids
"2-LTR circle formation" CHEBI:16991
"2-LTR circle formation" PSIP1
"2-LTR circle formation" BANF1
"2-LTR circle formation" XRCC6
"2-LTR circle formation" XRCC5
"2-LTR circle formation" HMGA1
"2-LTR circle formation" LIG4
"2-LTR circle formation" XRCC4
"5-Phosphoribose 1-diphosphate biosynthesis" CHEBI:18420
"5-Phosphoribose 1-diphosphate biosynthesis" CHEBI:30616
"5-Phosphoribose 1-diphosphate biosynthesis" CHEBI:43474
"5-Phosphoribose 1-diphosphate biosynthesis" CHEBI:456215
"5-Phosphoribose 1-diphosphate biosynthesis" CHEBI:58017
"5-Phosphoribose 1-diphosphate biosynthesis" CHEBI:58245
"5-Phosphoribose 1-diphosphate biosynthesis" CHEBI:61404
"5-Phosphoribose 1-diphosphate biosynthesis" CHEBI:78346
"5-Phosphoribose 1-diphosphate biosynthesis" PRPS2
"5-Phosphoribose 1-diphosphate biosynthesis" PRPS1L1
"5-Phosphoribose 1-diphosphate biosynthesis" PRPS1
"A tetrasaccharide linker sequence is required for GAG synthesis" CHEBI:29035
"A tetrasaccharide linker sequence is required for GAG synthesis" CHEBI:57632
"A tetrasaccharide linker sequence is required for GAG synthesis" CHEBI:58052
"A tetrasaccharide linker sequence is required for GAG synthesis" CHEBI:58223
"A tetrasaccharide linker sequence is required for GAG synthesis" CHEBI:66914
"A tetrasaccharide linker sequence is required for GAG synthesis" AGRN
"A tetrasaccharide linker sequence is required for GAG synthesis" NCAN
"A tetrasaccharide linker sequence is required for GAG synthesis" SDC3
"A tetrasaccharide linker sequence is required for GAG synthesis" GPC4
"A tetrasaccharide linker sequence is required for GAG synthesis" B3GAT3
"A tetrasaccharide linker sequence is required for GAG synthesis" CSPG5
"A tetrasaccharide linker sequence is required for GAG synthesis" DCN
"A tetrasaccharide linker sequence is required for GAG synthesis" VCAN
"A tetrasaccharide linker sequence is required for GAG synthesis" SDC1
"A tetrasaccharide linker sequence is required for GAG synthesis" BGN
"A tetrasaccharide linker sequence is required for GAG synthesis" SDC4
"A tetrasaccharide linker sequence is required for GAG synthesis" SDC2
