term	gene
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	RET
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	RTN4R
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	GSK3B
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	APP
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	PLXND1
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	KDM1A
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	VLDLR
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	PSEN1
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	ASCL1
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	LRP8
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	RTN4
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	NEUROD1
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	SOX2
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	RELN
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	ERBB4
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	MAP2
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	MYC
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	HES1
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	DISC1
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	MEF2C
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	BDNF
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	STAT3
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	MRE11A
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	NRG1
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	PAX6
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	CXCL12
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	DAB1
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	CDK5
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	MAP1B
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	ID2
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	ID1
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	NUMB
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	TCF4
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	TCF3
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	PAFAH1B1
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	CDK5R1
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	NEUROG3
NEUROGENESIS REGULATION IN THE OLFACTORY EPITHELIUM%WIKIPATHWAYS_20250210%WP5265%HOMO SAPIENS	FAIM
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	HNRNPK
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	HNRNPA2B1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	HNRNPD
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	RNPS1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CLASRP
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	HNRNPC
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	DKFZp434N041
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	RBMX
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SUGP2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SUGP1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CELF1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CELF2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CELF4
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SRP54
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	PTBP1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SNRPD2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SNRPD1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CLP1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	PAPOLA
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	DHX15
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SNRPD3
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	TXNL4A
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	RBM5
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	PSKH1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	RBM17
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SNRPN
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	PRMT2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	NCBP1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	NCBP2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	PRMT1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	METTL3
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	PRP4K
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	PRPF40A
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	DICER1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SMC1A
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CDC40
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	PRPF4
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SFPQ
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	PRPF18
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	PRPF3
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	DKFZp686J2031
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SNRPG
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	CD2BP2
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SNRPA1
MRNA PROCESSING%WIKIPATHWAYS_20250210%WP411%HOMO SAPIENS	SRSF4
